d,o,h,l,c,v
2020/5/29,79.8125,80.287498,79.1175,79.485001,153598000
2020/6/1,79.4375,80.587502,79.302498,80.462502,80791200
2020/6/2,80.1875,80.860001,79.732498,80.834999,87642800
2020/6/3,81.165001,81.550003,80.574997,81.279999,104491200
2020/6/4,81.097504,81.404999,80.195,80.580002,87560400
2020/6/5,80.837502,82.9375,80.807503,82.875,137250400
2020/6/8,82.5625,83.400002,81.830002,83.364998,95654400
2020/6/9,83.035004,86.402496,83.002502,85.997498,147712400
2020/6/10,86.974998,88.692497,86.522499,88.209999,166651600
2020/6/11,87.327499,87.764999,83.870003,83.974998,201662400
2020/6/12,86.18,86.949997,83.555,84.699997,200146000
2020/6/15,83.3125,86.419998,83.144997,85.747498,138808800
2020/6/16,87.864998,88.300003,86.18,88.019997,165428800
2020/6/17,88.787498,88.849998,87.772499,87.897499,114406400
2020/6/18,87.852501,88.362503,87.305,87.932503,96820400
2020/6/19,88.660004,89.139999,86.287498,87.43,264476000
2020/6/22,87.834999,89.864998,87.787498,89.717499,135445200
2020/6/23,91,93.095001,90.567497,91.6325,212155600
2020/6/24,91.25,92.197502,89.629997,90.014999,192623200
2020/6/25,90.175003,91.25,89.392502,91.209999,137522400
2020/6/26,91.102501,91.330002,88.254997,88.407501,205256800
2020/6/29,88.3125,90.542503,87.82,90.445,130646000
2020/6/30,90.019997,91.495003,90,91.199997,140223200
2020/7/1,91.279999,91.839996,90.977501,91.027496,110737200
2020/7/2,91.962502,92.6175,90.910004,91.027496,114041600
2020/7/6,92.5,93.945,92.467499,93.462502,118655600
2020/7/7,93.852501,94.654999,93.057503,93.172501,112424400
2020/7/8,94.18,95.375,94.089996,95.342499,117092000
2020/7/9,96.262497,96.317497,94.672501,95.752502,125642800
2020/7/10,95.334999,95.980003,94.705002,95.919998,90257200
2020/7/13,97.264999,99.955002,95.2575,95.477501,191649200
2020/7/14,94.839996,97.254997,93.877502,97.057503,170989200
2020/7/15,98.989998,99.247498,96.489998,97.724998,153198000
2020/7/16,96.5625,97.404999,95.904999,96.522499,110577600
2020/7/17,96.987503,97.147499,95.839996,96.327499,92186800
2020/7/20,96.417503,98.5,96.0625,98.357498,90318000
2020/7/21,99.172501,99.25,96.7425,97,103646000
2020/7/22,96.692497,97.974998,96.602501,97.272499,89001600
2020/7/23,96.997498,97.077499,92.010002,92.845001,197004400
2020/7/24,90.987503,92.970001,89.144997,92.614998,185438800
2020/7/27,93.709999,94.904999,93.480003,94.809998,121214000
2020/7/28,94.3675,94.550003,93.247498,93.252502,103625600
2020/7/29,93.75,95.230003,93.712502,95.040001,90329200
2020/7/30,94.1875,96.297501,93.767502,96.190002,158130000
2020/7/31,102.885002,106.415001,100.824997,106.260002,374336800
2020/8/3,108.199997,111.637497,107.892502,108.9375,308151200
2020/8/4,109.1325,110.790001,108.387497,109.665001,173071600
2020/8/5,109.377502,110.392502,108.897499,110.0625,121992000
2020/8/6,110.404999,114.412498,109.797501,113.902496,202428800
2020/8/7,113.205002,113.675003,110.292503,111.112503,198045600
2020/8/10,112.599998,113.775002,110,112.727501,212403600
2020/8/11,111.970001,112.482498,109.107498,109.375,187902400
2020/8/12,110.497498,113.275002,110.297501,113.010002,165944800
2020/8/13,114.43,116.042503,113.927498,115.010002,210082000
2020/8/14,114.830002,115,113.044998,114.907501,165565200
2020/8/17,116.0625,116.087502,113.962502,114.607498,119561600
2020/8/18,114.352501,116,114.0075,115.5625,105633600
2020/8/19,115.982498,117.162498,115.610001,115.707497,145538000
2020/8/20,115.75,118.392502,115.732498,118.275002,126907200
2020/8/21,119.262497,124.8675,119.25,124.370003,338054800
